,school_id,pupil_id,grade,Fluency,Kiswahili,Math,teacher_id,lesson_completion_rate,attendance_records,present_records,region,province,tutoring_program
0,416,344,Grade 2,41,1,0,202,1,85,77,Kirinyaga,Central,No
1,416,354,Grade 2,47,1,1,202,1,102,90,Kirinyaga,Central,No
2,416,3333,Grade 2,41,1,0,202,1,102,76,Kirinyaga,Central,No
3,416,5690,Grade 2,36,1,1,202,1,102,96,Kirinyaga,Central,No
4,416,5692,Grade 2,40,1,1,202,1,102,82,Kirinyaga,Central,No
5,416,6585,Grade 2,41,1,1,202,1,102,74,Kirinyaga,Central,No
6,416,7880,Grade 2,39,1,1,202,1,102,82,Kirinyaga,Central,No
7,416,8025,Grade 2,27,1,1,202,1,102,88,Kirinyaga,Central,No
8,416,8930,Grade 2,38,1,1,202,1,102,86,Kirinyaga,Central,No
9,416,12154,Grade 2,21,1,1,202,1,102,94,Kirinyaga,Central,No
10,416,14325,Grade 2,46,1,0,202,1,102,78,Kirinyaga,Central,No
11,416,19019,Grade 2,71,1,0,202,1,102,48,Kirinyaga,Central,No
12,416,21655,Grade 2,21,1,0,202,1,102,75,Kirinyaga,Central,No
13,416,22749,Grade 2,41,1,1,202,1,102,86,Kirinyaga,Central,No
14,416,22755,Grade 2,43,1,1,202,1,102,73,Kirinyaga,Central,No
15,416,23757,Grade 2,41,1,1,202,1,102,92,Kirinyaga,Central,No
16,416,23915,Grade 2,61,1,0,202,1,102,87,Kirinyaga,Central,No
17,416,25509,Grade 2,46,1,0,202,1,87,57,Kirinyaga,Central,No
18,416,25523,Grade 2,29,1,1,202,1,102,53,Kirinyaga,Central,No
19,416,1430,Grade 1,20,0,0,505,1,85,65,Kirinyaga,Central,No
20,416,1980,Grade 1,40,0,1,505,1,85,74,Kirinyaga,Central,No
21,416,2097,Grade 1,10,0,1,505,1,85,62,Kirinyaga,Central,No
22,416,2468,Grade 1,37,0,1,505,1,85,73,Kirinyaga,Central,No
23,416,3083,Grade 1,43,1,1,505,1,85,55,Kirinyaga,Central,No
24,416,4088,Grade 1,48,1,1,505,1,85,67,Kirinyaga,Central,No
25,416,5052,Grade 1,38,1,1,505,1,85,77,Kirinyaga,Central,No
26,416,6151,Grade 1,21,0,1,505,1,85,59,Kirinyaga,Central,No
27,416,6768,Grade 1,17,0,1,505,1,85,69,Kirinyaga,Central,No
28,416,8377,Grade 1,11,0,1,505,1,85,69,Kirinyaga,Central,No
29,416,8622,Grade 1,26,0,1,505,1,85,65,Kirinyaga,Central,No
30,416,10616,Grade 1,39,1,1,505,1,85,68,Kirinyaga,Central,No
31,416,11313,Grade 1,26,0,1,505,1,85,64,Kirinyaga,Central,No
32,416,14284,Grade 1,2,0,0,505,1,66,41,Kirinyaga,Central,No
33,416,14895,Grade 1,35,1,1,505,1,85,56,Kirinyaga,Central,No
34,416,14979,Grade 1,40,1,1,505,1,85,52,Kirinyaga,Central,No
35,416,19156,Grade 1,2,0,1,505,1,38,31,Kirinyaga,Central,No
36,416,22914,Grade 1,20,0,1,505,1,85,59,Kirinyaga,Central,No
37,416,23222,Grade 1,43,1,1,505,1,85,76,Kirinyaga,Central,No
38,416,24966,Grade 1,26,0,1,505,1,85,62,Kirinyaga,Central,No
39,416,1642,Grade 5,68,1,1,145,0,86,56,Kirinyaga,Central,No
40,416,6540,Grade 5,78,1,1,145,0,37,29,Kirinyaga,Central,No
41,416,8314,Grade 5,119,1,1,145,0,86,34,Kirinyaga,Central,No
42,416,8446,Grade 5,119,1,1,145,0,37,24,Kirinyaga,Central,No
43,416,10972,Grade 5,105,1,1,145,0,85,38,Kirinyaga,Central,No
44,416,14146,Grade 5,71,0,0,145,0,86,21,Kirinyaga,Central,No
